CustomerID,Age,Gender,Product,Sales,City,Month
101,22,Male,Laptop,55000,Hyderabad,January
102,28,Female,Phone,25000,Chennai,February
103,35,Male,Tablet,30000,Bangalore,March
104,30,Female,Laptop,60000,Delhi,April
105,27,Male,Phone,20000,Mumbai,May
106,32,Female,Tablet,35000,Pune,June
107,29,Male,Laptop,70000,Hyderabad,July
108,24,Female,Phone,22000,Chennai,August
109,31,Male,Tablet,40000,Bangalore,September
110,26,Female,Laptop,65000,Delhi,October
111,33,Male,Phone,27000,Mumbai,November
112,25,Female,Tablet,32000,Pune,December
113,36,Male,Laptop,75000,Hyderabad,January
114,21,Female,Phone,18000,Chennai,February
115,34,Male,Tablet,42000,Bangalore,March
116,29,Female,Laptop,68000,Delhi,April
117,23,Male,Phone,24000,Mumbai,May
118,37,Female,Tablet,39000,Pune,June
119,28,Male,Laptop,72000,Hyderabad,July
120,30,Female,Phone,26000,Chennai,August
121,35,Male,Tablet,41000,Bangalore,September
122,27,Female,Laptop,63000,Delhi,October
123,24,Male,Phone,21000,Mumbai,November
124,31,Female,Tablet,36000,Pune,December
125,26,Male,Laptop,69000,Hyderabad,January
126,32,Female,Phone,28000,Chennai,February
127,29,Male,Tablet,37000,Bangalore,March
128,33,Female,Laptop,71000,Delhi,April
129,22,Male,Phone,19000,Mumbai,May
130,34,Female,Tablet,43000,Pune,June
